city,state,year_created,creation_mechanism,lawsuits,court_ruling,state_preemption,preemption_details
Fayetteville city,NC,2021,ordinance,None found,none,no,
Fort Collins city,CO,1998,ordinance,None found,none,no,
Fort Lauderdale city,FL,1994,ordinance,None found,none,yes,"FL HB 601 (2024) - state banned civilian oversight of police misconduct investigations; effective July 1, 2024"
Fremont city,CA,1994,ordinance,None found,none,no,
Fresno city,CA,2017,ordinance,None found,none,no,
Gainesville city,FL,2010,ordinance,None found,none,yes,"FL HB 601 (2024) - state banned civilian oversight of police misconduct investigations; effective July 1, 2024"
Grand Rapids city,MI,2019,ordinance,None found,none,no,
Green Bay city,WI,1895,state_law,None found,none,no,
Hartford city,CT,2020,ordinance,Police union disputes 2025-2026,pending,no,
Houston city,TX,2011,ordinance,None found,none,no,
Huntsville city,AL,2010,ordinance,None found,none,no,
Jackson city,MS,2021,ordinance,None found,none,no,
Jerseycity,NJ,2021,ordinance,None found,none,no,
Kansascity,KS,2006,ordinance,None found,none,no,
Kansascity,MO,1939,ordinance,None found,none,no,
Knoxville city,TN,1998,ordinance,None found,none,yes,TN SB 591 (2023) - state abolished/restricted existing oversight boards; replaced with weaker advisory committees
Lakeland city,FL,2020,ordinance,None found,none,yes,"FL HB 601 (2024) - state banned civilian oversight of police misconduct investigations; effective July 1, 2024"
Lakewood city,CO,2025,ordinance,None found,none,no,
Las Vegas city,NV,1999,ordinance,Police union lawsuit dismissed,for_COA,no,
Lexington-Fayette urban county,KY,2021,ordinance,None found,none,no,
Lincoln city,NB,1975,ordinance,None found,none,no,
Little Rock city,AR,2019,ordinance,None found,none,no,
Long Beach city,CA,1990,ballot_measure,None found,none,no,
Los Angeles city,CA,1995,ballot_measure,None found,none,no,
Louisville/Jefferson County metro government (balance),KY,2003,ordinance,None found,none,no,
Madison city,WI,2020,ordinance,None found,none,no,
Memphis city,TN,1994,ordinance,State preempted board via SB 591,for_police,yes,TN SB 591 (2023) - state abolished/restricted existing oversight boards; replaced with weaker advisory committees
Mesa city,AZ,2020,ordinance,None found,none,partial,AZ HB 2462/2721 (2021) - requires 80hrs police training for board members; 2/3 of investigators must be certified law enforcement
Milwaukee city,WI,1911,state_law,Castaneda v. Welch 2007; MPA suit 2023,for_COA,yes,WI Act 12 (2023) gutted FPC policymaking; transferred policy to Chiefs; required union-selected members
Mobile city,AL,2015,ordinance,None found,none,no,
Modesto city,CA,2021,ballot_measure,None found,none,no,
Nashville-Davidson metropolitan government (balance),TN,2019,ballot_measure,State preempted voter-created board,for_police,yes,TN SB 591 (2023) - state abolished/restricted existing oversight boards; replaced with weaker advisory committees
New Haven city,CT,2021,ordinance,None found,none,no,
New York city,NY,1993,ordinance,PBA v. CCRB multiple suits 2019-2024,mixed,partial,NY state law preserves Police Commissioner final authority over discipline
Newark city,NJ,2016,ordinance,Police union 2016; NJ Supreme Court 2020,for_police,partial,NJ Supreme Court (2020) struck down subpoena and concurrent investigation powers
Oklahomacity,OK,1992,executive_order,None found,none,no,
Olathe city,KS,1995,ordinance,None found,none,no,
Omaha city,NB,2014,executive_order,None found,none,no,
Orlando city,FL,1992,ordinance,None found,none,yes,"FL HB 601 (2024) - state banned civilian oversight of police misconduct investigations; effective July 1, 2024"
Overland Park city,KS,2017(?),ordinance,None found,none,no,
Oxnard city,CA,2010,ordinance,None found,none,no,
Pasadena city,CA,2020,ballot_measure,None found,none,no,
Philadelphia city,PA,1993,ordinance,FOP disputes over oversight measures,mixed,no,
Pittsburgh city,PA,1996,ordinance,None found,none,no,
Pomona city,CA,2023,ordinance,None found,none,no,
Portland city,OR,2010,ballot_measure,PPA ballot measures challenged 2020-2024,for_COA,no,
Providence city,RI,2002,ordinance,FOP v. PERA; City Solicitor lawsuit,for_police,yes,RI LEOBOR used to challenge PERA; defunded 2008
Provo city,UT,2015,ordinance,None found,none,no,
Raleigh city,NC,2020,ordinance,None found,none,no,
Richmond city,CA,1984,ordinance,None found,none,no,
Richmond city,VA,2022,ordinance,None found,none,no,
Riverside city,CA,2018,ballot_measure,None found,none,no,
Rochester city,MN,2024,ordinance,None found,none,no,
Rochester city,NY,2019,ballot_measure,Locust Club v. City 2019-2025,for_police,yes,NY state civil service law preempts PAB discipline (Court of Appeals 2023); investigative powers blocked (2025)
Rockford city,IL,2022,ordinance,None found,none,no,
Sacramento city,CA,2021,ordinance,None found,none,no,
Salem city,OR,2002,ordinance,None found,none,no,
Salt Lakecity,UT,2003,ordinance,None found,none,no,
San Diego city,CA,1991,ballot_measure,None found,none,no,
San Francisco city,CA,1982,ballot_measure,SFPOA disputes with Commission,mixed,no,
San Jose city,CA,1993,ballot_measure,None found,none,no,
Santa Ana city,CA,2022,ballot_measure,None found,none,no,
Seattle city,WA,2017,ordinance,None found,none,no,
South Bend city,IN,2020,ordinance,None found,none,no,
South Fulton city,GA,2025,ordinance,None found,none,no,
Spokane Valley city,WA,2013,ballot_measure,None found,none,no,
Spokane city,WA,2008,ordinance,None found,none,no,
Springfield city,IL,2005,ordinance,None found,none,no,
Springfield city,MO,1999,ordinance,None found,none,no,
Springfield city,MS,2022,ordinance,Council v. Mayor Sarno SJC 2022,for_COA,no,
St. Louis city,MO,2015,ordinance,Police unions lawsuit 2022 dismissed,for_COA,no,
St. Petersburg city,FL,1991,ordinance,None found,none,yes,"FL HB 601 (2024) - state banned civilian oversight of police misconduct investigations; effective July 1, 2024"
Stamford city,CT,1969,ordinance,None found,none,no,
Syracuse city,NY,1993,ordinance,None found,none,no,
Tacoma city,WA,2013,ordinance,None found,none,no,
Tallahassee city,FL,2020,ordinance,None found,none,yes,"FL HB 601 (2024) - state banned civilian oversight of police misconduct investigations; effective July 1, 2024"
Tempe city,AZ,1999,ordinance,None found,none,partial,AZ HB 2462/2721 (2021) - requires 80hrs police training for board members; 2/3 of investigators must be certified law enforcement
Toledo city,OH,1991,ordinance,None found,none,no,
Urban Honolulu,HI,2018,ballot_measure,None found,none,no,
Vallejo city,CA,2024,ballot_measure,None found,none,no,
Virginia Beach city,VA,2022,state_law,None found,none,no,
Washington city,DC,1999,ordinance,None found,none,no,
Waterbury city,CT,2004,ordinance,None found,none,no,
West Valleycity,UT,2013,ordinance,None found,none,no,
Wichita city,KS,,ordinance,None found,none,no,
Winston-Salem city,NC,1993,ordinance,None found,none,no,
